Region,Site,Species,Responsible_Researcher,Patch_id,Dominate_patch_species,Start_date_2013,End_date_2013,Beging_season_vasc_2013,End_season_vasc_2013,HWT_begin_season_2013,HWT_end_season_2013,Capitula_weight_2013_g,No_capitula_2013,Stem_weight_2013_g_per_3cm,Area_2013,Patch_coord_lat,Patch_coord_lon,bulk_dens_kg_per_m_3_2013,LI13_wire1,LI13_wire2,LI13_wire3,LI13_wire4,LI13_wire5,LI13_wire6,LI13_wire7,LI13_wire8,prod_2013_wire1_g_per_m2_yr,prod_2013_wire2_g_per_m2_yr,prod_2013_wire3_g_per_m2_yr,prod_2013_wire4_g_per_m2_yr,prod_2013_wire5_g_per_m2_yr,prod_2013_wire6_g_per_m2_yr,prod_2013_wire7_g_per_m2_yr,prod_2013_wire8_g_per_m2_yr,second_year_start_2014,second_year_end_2014,Beging_season_vasc_2014,End_season_vasc_2014,HWT_begin_season_2014,HWT_end_season_2014,Capitula_weight_2014,No_capitula_2014,Stem_weight_2014,Area_2014,bulk_dens_kg_per_m_3_2014,LI14_wire1,LI14_wire2,LI14_wire3,LI14_wire4,prod_2014_wire1_g_per_m2_yr,prod_2014_wire2_g_per_m2_yr,prod_2014_wire3_g_per_m2_yr,prod_2014_wire4_g_per_m2_yr,third_year_start_2015,third_year_end_2015,Beging_season_vasc_2015,End_season_vasc_2015,HWT_begin_season_2015,HWT_end_season_2015,Capitula_weight_2015,No_capitula_2015,Stem_weight_2015,Area_2015,iso_18O_2013,iso_13C_2013,iso_13C_2014,iso_18O_2014,element_comment,element_sampling_year,N_per,C_per,Al_mg_kg,B_mg_kg,Ca_per,Cd_mg_kg,Cr_mg_kg,Cu_mg_kg,Fe_mg_kg,K_per,Mg_per,Mn_mg_kg,Na__mg_kg,Ni_mg_kg,P_per,Zn_mg_kg,orgOrder,temp13,temp14,temp15,evap13,evap14,evap15,precip13,precip14,precip15,norain13.mean,norain14.mean,norain15.mean,norain13.max,norain14.max,norain15.max,par13,par14,par15,googlemap_elevation_masl,ndep_Lamarque2013,LI13,LI14,Prod13,Prod14,days2013,days2014,prod_per_day2013,prod_per_day2014,LI_per_day2013,LI_per_day2014,BD13,BD14,num.den13,num.den14,ndep_Lam13,CN,NP,HWT13,HWT14,cover13,cover14,prec_d13,prec_d14,par_d13,par_d14,ev_d13,ev_d14
"Canada, ON (NW)",Savanne,S.fuscum,Gustaf Granath,1,"Moss: S.fusc,  Shrub:  Kalmia polifolia, Grass/Sedge: Carex pauciflora, Equisetum fluvatile",2013-05-28,2013-09-29,,6.4,37,51,0.8342,374,1.8131,70.84625,48.954,-90.23306,8.5306797,30,42,27,,,,,,255.920391,358.2885474,230.3283519,,,,,,2014-05-22,2014-10-09,,,26,41,1.3,294,2.172,78.5,9.222929936,10,45,37,,92.22929936,415.0318471,341.2484076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16.36,14.58,,420.577,471.243,,408.36,486.5902723,,3.2273,2.5333,,11,7,,1109.073387,1155.504583,,459,0.479,33,30.6666666666667,281.5124301,282.83651802,124,140,2.27026153306452,2.020260843,0.266129032258065,0.219047619047619,8.5306797,9.222929936,5.27903735201228,3.74522292993631,0.479,,,44,33.5,6.4,,3.29322580645161,3.47564480214286,8.94414021774194,8.25360416428571,3.39175,3.36602142857143
"Canada, ON (NW)",Savanne,S.fuscum,Gustaf Granath,2,"Moss: S.fusc,  Shrub:  Chamaedaphne calyculata, Grass/Sedge: Carex pauciflora",2013-05-28,2013-09-29,,15,34,42,1.1441,232,2.6248,70.84625,48.954,-90.23306,12.34974799,3,9,16,,,,,,37.04924396,111.1477319,197.5959678,,,,,,2014-05-22,2014-10-09,,,25,49,1.056,236,2.712,78.5,11.51592357,25,11,12,,287.8980892,126.6751592,138.1910828,,,,,,,,,,,,20.69384601,-28.72329354,,,,2014,0.873,47.705,213,17,0.159,0.02,2.14,2.29,307,0.273,0.04,705,218,1.07,0.051,17,2,16.36,14.58,,420.577,471.243,,408.36,486.5902723,,3.2273,2.5333,,11,7,,1109.073387,1155.504583,,459,0.479,9.33333333333333,16,115.264314553333,184.254777066667,124,140,0.929550923817204,1.31610555047619,0.075268817204301,0.114285714285714,12.34974799,11.51592357,3.27469696702366,3.00636942675159,0.479,54.6449026345934,17.1176470588235,38,37,15,,3.29322580645161,3.47564480214286,8.94414021774194,8.25360416428571,3.39175,3.36602142857143
"Canada, ON (NW)",Savanne,S.fuscum,Gustaf Granath,3,"Moss: S.fusc,  Shrub:  Chamaedaphne calyculata, Grass/Sedge: Carex magellanicum, tree: Picea mariana",2013-05-28,2013-09-29,,18.24,32,41,0.9374,192,3.3385,70.84625,48.954,-90.23306,15.70772389,27,-1,26,,,,,,424.1085449,-15.70772389,408.400821,,,,,,2014-05-22,2014-10-09,,,31,57,1.296,236,3.046,78.5,12.93418259,9,17,39,,116.4076433,219.881104,504.433121,,,,,,,,,,,,,,,,,2014,0.962,48.115,122,14,0.213,0.02,0.98,2.34,161,0.567,0.071,587,143,0.65,0.065,20,3,16.36,14.58,,420.577,471.243,,408.36,486.5902723,,3.2273,2.5333,,11,7,,1109.073387,1155.504583,,459,0.479,17.3333333333333,21.6666666666667,272.267214003333,280.240622766667,124,140,2.19570333873656,2.00171873404762,0.139784946236559,0.154761904761905,15.70772389,12.93418259,2.71009404167475,3.00636942675159,0.479,50.0155925155925,14.8,36.5,44,18.24,,3.29322580645161,3.47564480214286,8.94414021774194,8.25360416428571,3.39175,3.36602142857143
"Canada, ON (NW)",Savanne,S.magellanicum,Gustaf Granath,4,"Moss: S.mag,  Shrub:  Kalmia polifolia, Ledum groenlandicum, Grass/Sedge: Carex magellanicum, tree: Betula pumila",2013-05-28,2013-09-29,,9.76,32,42,0.7697,110,1.2519,70.84625,48.954,-90.23306,5.890220019,21,23,17,,,,,,123.6946204,135.4750604,100.1337403,,,,,,2014-05-22,2014-10-09,,,33,56,1.705,160,3.052,78.5,12.9596603,33,29,24,,427.6687898,375.8301486,311.0318471,,,,,,,,,,,,18.65766748,-28.7385981,,,,2014,0.865,47.166,156,12,0.213,0.04,1.39,2.64,229,0.527,0.107,592,183,0.71,0.068,33,4,16.36,14.58,,420.577,471.243,,408.36,486.5902723,,3.2273,2.5333,,11,7,,1109.073387,1155.504583,,459,0.479,20.3333333333333,28.6666666666667,119.767807033333,371.510261833333,124,140,0.96586941155914,2.65364472738095,0.163978494623656,0.204761904761905,5.890220019,12.9596603,1.55265804470949,2.03821656050955,0.479,54.5271676300578,12.7205882352941,37,44.5,9.76,,3.29322580645161,3.47564480214286,8.94414021774194,8.25360416428571,3.39175,3.36602142857143
"Canada, ON (NW)",Savanne,S.fuscum,Gustaf Granath,5,"Moss: S.fusc,  Shrub:  Chamaedaphne calyculata,Kalmia polifolia, Grass/Sedge: Carex magellanicum, tree: Salix pedicellaris",2013-05-28,2013-09-29,,3.48,31,40,1.5156,254.3625,3.024,78.5,48.954,-90.23306,12.84076433,0,11,24,,,,,,0,141.2484076,308.1783439,,,,,,2014-05-23,2014-10-10,,,28,54,1.048,275,3.78,78.5,16.05095541,15,19,4,,240.7643312,304.9681529,64.20382166,,,,,,,,,,,,19.95862133,-28.98827249,,,,,,,,,,,,,,,,,,,,,5,16.36,14.54,,420.577,469.929,,408.36,485.8308303,,3.2273,2.5333,,11,7,,1109.073387,1151.591184,,459,0.479,11.6666666666667,12.6666666666667,149.808917166667,203.31210192,124,140,1.20813642876344,1.45222929942857,0.094086021505376,0.090476190476191,12.84076433,16.05095541,3.24028662420382,3.5031847133758,0.479,,,35.5,41,3.48,,3.29322580645161,3.47022021642857,8.94414021774194,8.22565131428571,3.39175,3.35663571428571
"Canada, ON (NW)",Savanne,S.magellanicum,Gustaf Granath,6,"Moss: S.mag,  Shrub: Ledum groenlandicum, Kalmia polifolia, Grass/Sedge: Carex magellanicum, tree: Picea mariana",2013-05-28,2013-09-29,,3.76,27,34,0.9022,80,1.1714,78.5,48.954,-90.23306,4.974097665,28,21,21,,,,,,139.2747346,104.456051,104.456051,,,,,,2014-05-23,2014-10-10,,,15,45,1.196,96,2.57,78.5,10.91295117,20,25,14,,218.2590234,272.8237792,152.7813163,,,,,,,,,,,,19.12860395,-28.58953702,,,,2014,0.885,46.987,164,17,0.289,0.04,0.69,2.64,215,0.519,0.12,503,322,0.73,0.064,35,6,16.36,14.54,,420.577,469.929,,408.36,485.8308303,,3.2273,2.5333,,11,7,,1109.073387,1151.591184,,459,0.479,23.3333333333333,19.6666666666667,116.062278866667,214.621372966667,124,140,0.935986119892473,1.53300980690476,0.188172043010753,0.14047619047619,4.974097665,10.91295117,1.01910828025478,1.22292993630573,0.479,53.0926553672316,13.828125,30.5,30,3.76,,3.29322580645161,3.47022021642857,8.94414021774194,8.22565131428571,3.39175,3.35663571428571
"Canada, ON (NW)",Savanne,S.magellanicum,Gustaf Granath,7,"Moss: S.mag,  Shrub:  Chamaedaphne calyculata, Grass/Sedge: Carex magellanicum, tree: Picea mariana",2013-05-28,2013-09-29,,5.24,16,28,0.7506,121,1.3548,78.5,48.954,-90.23306,5.752866242,33,3,48,,,,,,189.844586,17.25859873,276.1375796,,,,,,2014-05-23,2014-10-10,,,29,48,1.506,193,2.614,78.5,11.09978769,31,36,46,,344.0934183,399.5923567,510.5902335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,16.36,14.54,,420.577,469.929,,408.36,485.8308303,,3.2273,2.5333,,11,7,,1109.073387,1151.591184,,459,0.479,28,37.6666666666667,161.080254776667,418.092002833333,124,140,1.29903431271505,2.98637144880952,0.225806451612903,0.269047619047619,5.752866242,11.09978769,1.54140127388535,2.45859872611465,0.479,,,22,38.5,5.24,,3.29322580645161,3.47022021642857,8.94414021774194,8.22565131428571,3.39175,3.35663571428571
"Canada, ON (NW)",Savanne,S.magellanicum,Gustaf Granath,8,"Moss: S.mag,  Shrub: Ledum groenlandicum, Chamaedaphne calyculata, Grass/Sedge: Carex magellanicum, tree: Larix laricina",2013-05-28,2013-09-29,,2.24,23,27,0.7619,90,1.4373,78.5,48.954,-90.23306,6.103184713,23,18,30,,,,,,140.3732484,109.8573248,183.0955414,,,,,,2014-05-23,2014-10-10,,,28,33,1.022,113,2.528,78.5,10.73460722,28,18,24,,300.5690021,193.2229299,257.6305732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,16.36,14.54,,420.577,469.929,,408.36,485.8308303,,3.2273,2.5333,,11,7,,1109.073387,1151.591184,,459,0.479,23.6666666666667,23.3333333333333,144.4420382,250.4741684,124,140,1.16485514677419,1.78910120285714,0.190860215053763,0.166666666666667,6.103184713,10.73460722,1.14649681528662,1.43949044585987,0.479,,,25,30.5,2.24,,3.29322580645161,3.47022021642857,8.94414021774194,8.22565131428571,3.39175,3.35663571428571
"Canada, ON (NW)",Raith,S.fuscum,Gustaf Granath,1,"Moss: S.fusc,  Shrub: Ledum groenlandicum, Kalmia polifolia, tree: Picea mariana",2013-05-28,2013-09-30,,58.6,38,31,0.5951,246.20375,2.8204,70.84625,48.85354,-89.95639,13.27005076,26,29,27,,,,,,345.0213196,384.8314719,358.2913704,,,,,,2014-05-24,2014-10-11,,,26,41,1.167,216,2.579,78.5,10.95116773,46,6,64,,503.7537155,65.70700637,700.8747346,,,,,,,,,,,,18.36860285,-29.9211305,,,,2014,0.935,47.963,138,14,0.284,0.04,1.53,2.74,199,0.572,0.083,421,229,0.92,0.054,23,9,16.35,14.47,,422.668,467.609,,408.395,485.8446515,,3.1304,2.6207,,11,7,,1114.891626,1145.389813,,475,0.468,27.3333333333333,38.6666666666667,362.714720633333,423.445152156667,125,140,2.90171776506667,3.02460822969048,0.218666666666667,0.276190476190476,13.27005076,10.95116773,3.47518393704677,2.7515923566879,0.468,51.2973262032086,17.3148148148148,34.5,33.5,58.6,,3.26716,3.47031893928571,8.919133008,8.18135580714286,3.381344,3.34006428571429
"Canada, ON (NW)",Raith,S.fuscum,Gustaf Granath,2,"Moss: S.fusc,  Shrub: Ledum groenlandicum,  Grass/Sedge: Carex oligosperma",2013-05-28,2013-09-30,,27.4,35,36,0.9991,166.4975,2.3901,70.84625,48.85354,-89.95639,11.24547877,3,30,17,,,,,,33.7364363,337.364363,191.173139,,,,,,2014-05-24,2014-10-11,,,24,32,1.193,137,2.007,78.5,8.522292994,3,,,,25.56687898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,16.35,14.47,,422.668,467.609,,408.395,485.8446515,,3.1304,2.6207,,11,7,,1114.891626,1145.389813,,475,0.468,16.6666666666667,3,187.4246461,25.56687898,125,140,1.4993971688,0.182620564142857,0.133333333333333,0.021428571428571,11.24547877,8.522292994,2.35012438908199,1.74522292993631,0.468,,,35.5,28,27.4,,3.26716,3.47031893928571,8.919133008,8.18135580714286,3.381344,3.34006428571429
