SITE_ID,MOSS_SPECIES_OR_LAYER,MOSS_GROUP,MOSS_MICROTOPOGRAPHY,MOSS_NPP,SAMPLE_YEAR_FIRST,SAMPLE_YEAR_LAST,REFERENCE_ID
1,"Sphagnum riparium Ångstr., Sphagnum lindbergii Schimp. in Lindb.",Sphagnum,Lawn ,14.4,1982,1982,3
1,Sphagnum russowii Warnst.,Sphagnum,Hummock,61.8,1982,1982,3
2,Sphagnum ripariumÊÅngstr_m.,Sphagnum,Lawn,8.6,1982,1982,3
2,"Sphagnum angustifolium (C. Jens. ex Russ.) C. Jens. in Tolf, Sphagnum warnstorfii Russow",Sphagnum,Hummock ,72.8,1982,1982,3
3,Sphagnum angustifolium (C. Jens. ex Russ.) C. Jens. in Tolf,Sphagnum,Lawn,19.2,1982,1982,3
3,Sphagnum angustifolium (C. Jens. ex Russ.) C. Jens. in Tolf,Sphagnum,Hummock,57.9,1982,1982,3
14,Sphagnum spp.    ,Sphagnum,nd,20.3,1983,1983,8
14,Moss layer    ,All,nd,24.3,1983,1983,8
15,Sphagnum spp.    ,Sphagnum,nd,194.9,1983,1983,8
20,Hylocomium splendens (Hedw.) Schimp. in B.S.G.,Feathermoss,nd,79.0,1974,1975,12
20,Tomenthypnum nitens (Hedw.) Loeske,Other,nd,190.0,1974,1975,12
55,Sphagnum spp.    ,Sphagnum,nd,390.0,1979,1979,18
56,"Sphagnum angustifolium (C. Jens. ex Russ.) C. Jens. in Tolf, Sphagnum fallax (Klinggr.) Kinggr.",Sphagnum,Hollow ,370.0,1980,1980,20
56,"Sphagnum magellanicum Brid., Sphagnum fuscum (Schimp.) Klinggr.",Sphagnum,Hummock ,300.0,1980,1980,20
56,Sphagnum spp.    ,Sphagnum,nd,320.0,1980,1983,20
57,Sphagnum angustifolium (C. Jens. ex Russ.) C. Jens. in Tolf,Sphagnum,Hollow ,520.0,1980,1980,20
57,Sphagnum magellanicum Brid.,Sphagnum,Hummock ,320.0,1980,1980,20
57,Sphagnum spp.  ,Sphagnum,nd,380.0,1980,1983,20
72,Sphagnum angustifolium (C. Jens. ex Russ.) C. Jens. in Tolf,Sphagnum,nd,127.4,1984,1984,30
72,Sphagnum angustifolium (C. Jens. ex Russ.) C. Jens. in Tolf,Sphagnum,nd,29.2,1985,1985,30
73,Sphagnum warnstorfii Russ.,Sphagnum,nd,142.1,1984,1984,30
73,Sphagnum warnstorfii Russ.,Sphagnum,nd,107.6,1985,1985,30
74,"Sphagnum warnstorfii Russow, Sphagnum anugustifolium (C. Jens. ex Russ.) C. Jens. in Tolf",Sphagnum,Lawn ,90.1,1984,1984,30
74,"Sphagnum warnstorfii Russow, Sphagnum anugustifolium (C. Jens. ex Russ.) C. Jens. in Tolf",Sphagnum,Lawn ,36.0,1985,1985,30
75,Sphagnum fuscum (Schimp.) Klinggr.,Sphagnum,nd,75.3,1984,1984,30
75,Sphagnum fuscum (Schimp.) Klinggr.,Sphagnum,nd,83.5,1985,1985,30
76,Sphagnum capillifolium (Ehrh.) Hedw.,Sphagnum,nd,78.7,1984,1984,30
76,Sphagnum capillifolium (Ehrh.) Hedw.,Sphagnum,nd,69.8,1985,1985,30
87,Pleurozium schreberi (Brid.) Mitt.,Feathermoss,nd,116.3,1970,1970,43
87,Pleurozium schreberi (Brid.) Mitt.,Feathermoss,nd,107.7,1970,1970,43
88,Sphagnum fuscum (Schimp.) Klinggr.,Sphagnum,nd,7.1,1970,1970,43
88,Sphagnum fuscum (Schimp.) Klinggr.,Sphagnum,nd,17.0,1970,1970,43
89,Aulacomium palustre (Hedw.) Schwaegr.,Other,nd,5.4,1970,1970,43
89,Polytrichum juniperinum Hedw.,Other,nd,35.0,1970,1970,43
89,Moss layer    ,All,nd,55.4,1970,1970,43
89,Sphagnum fuscum (Schimp.) Klinggr.,Sphagnum,nd,7.8,1970,1970,43
90,Aulacomium palustre (Hedw.) Schwaegr.,Other,nd,35.9,1970,1970,43
90,Moss layer    ,Other,nd,75.8,1970,1970,43
90,Hypnum pratense (Rabenh.) W. Koch ex Spruce,Other,nd,31.2,1970,1970,43
94,Sphagnum angustifolium (C. Jens. ex Russ.) C. Jens. in Tolf,Sphagnum,Hollow ,186.0,1984,1984,47
94,Sphagnum angustifolium (C. Jens. ex Russ.) C. Jens. in Tolf,Sphagnum,Hollow ,169.0,1985,1985,47
94,Sphagnum angustifolium (C. Jens. ex Russ.) C. Jens. in Tolf,Sphagnum,Hollow ,157.0,1986,1986,47
94,Sphagnum angustifolium (C. Jens. ex Russ.) C. Jens. in Tolf,Sphagnum,Hollow ,99.0,1987,1987,47
94,Sphagnum fuscum (Schimp.) Klinggr.,Sphagnum,Hummock,69.0,1984,1984,47
94,Sphagnum fuscum (Schimp.) Klinggr.,Sphagnum,Hummock,91.0,1985,1985,47
94,Sphagnum fuscum (Schimp.) Klinggr.,Sphagnum,Hummock,116.0,1986,1986,47
94,Sphagnum fuscum (Schimp.) Klinggr.,Sphagnum,Hummock,119.0,1987,1987,47
94,Sphagnum magellanicum Brid.,Sphagnum,Hummock,230.0,1984,1984,47
94,Sphagnum magellanicum Brid.,Sphagnum,Hummock,186.0,1985,1985,47
94,Sphagnum magellanicum Brid.,Sphagnum,Hummock,73.0,1986,1986,47
94,Sphagnum magellanicum Brid.,Sphagnum,Hummock,52.0,1987,1987,47
94,Sphagnum spp.,Sphagnum,nd,206.0,1984,1984,47
94,Sphagnum spp.,Sphagnum,nd,175.0,1985,1985,47
94,Sphagnum spp.,Sphagnum,nd,109.0,1986,1986,47
94,Sphagnum spp.,Sphagnum,nd,74.0,1987,1987,47
95,Sphagnum angustifolium (C. Jens. ex Russ.) C. Jens. in Tolf,Sphagnum,Hollow ,191.0,1984,1984,47
95,Sphagnum angustifolium (C. Jens. ex Russ.) C. Jens. in Tolf,Sphagnum,Hollow ,198.0,1985,1985,47
95,Sphagnum angustifolium (C. Jens. ex Russ.) C. Jens. in Tolf,Sphagnum,Hollow ,100.0,1986,1986,47
95,Sphagnum angustifolium (C. Jens. ex Russ.) C. Jens. in Tolf,Sphagnum,Hollow ,97.0,1987,1987,47
95,Sphagnum fuscum (Schimp.) Klinggr.,Sphagnum,Hummock,240.0,1984,1984,47
95,Sphagnum fuscum (Schimp.) Klinggr.,Sphagnum,Hummock,303.0,1985,1985,47
95,Sphagnum fuscum (Schimp.) Klinggr.,Sphagnum,Hummock,175.0,1986,1986,47
95,Sphagnum fuscum (Schimp.) Klinggr.,Sphagnum,Hummock,156.0,1987,1987,47
95,Sphagnum magellanicum Brid.,Sphagnum,Hummock,246.0,1984,1984,47
95,Sphagnum magellanicum Brid.,Sphagnum,Hummock,103.0,1985,1985,47
95,Sphagnum magellanicum Brid.,Sphagnum,Hummock,59.0,1986,1986,47
95,Sphagnum magellanicum Brid.,Sphagnum,Hummock,52.0,1987,1987,47
95,Sphagnum spp.,Sphagnum,nd,223.0,1984,1984,47
95,Sphagnum spp.,Sphagnum,nd,150.0,1985,1985,47
95,Sphagnum spp.,Sphagnum,nd,80.0,1986,1986,47
95,Sphagnum spp.,Sphagnum,nd,75.0,1987,1987,47
104,Moss layer    ,All,nd,209.0,1991,1991,52
104,Moss layer    ,All,nd,124.0,1992,1992,52
105,Moss layer    ,All,nd,172.0,1991,1991,52
105,Moss layer    ,All,nd,114.0,1992,1992,52
106,Sphagnum teres (Schimp.) ÊÅngstr_m. in Hartm.,Sphagnum,nd,143.0,1991,1991,51
106,Sphagnum teres (Schimp.) ÊÅngstr_m. in Hartm.,Sphagnum,nd,101.0,1992,1992,51
106,Moss layer    ,All,nd,156.1,1991,1991,52
106,Moss layer    ,All,nd,97.6,1992,1992,52
106,Sphagnum angustifolium (C. Jens. ex Russ.) C. Jens. in Tolf,Sphagnum,nd,166.0,1991,1991,51
106,Sphagnum angustifolium (C. Jens. ex Russ.) C. Jens. in Tolf,Sphagnum,nd,95.0,1992,1992,51
107,Tomenthypnum nitens (Hedw.) Loeske,Other,nd,170.0,1991,1991,51
107,Tomenthypnum nitens (Hedw.) Loeske,Other,nd,115.0,1992,1992,51
108,Drepanocladus aduncus (Hedw.) Warnst.,Other,nd,47.0,1991,1991,51
108,Drepanocladus aduncus (Hedw.) Warnst.,Other,nd,38.0,1992,1992,51
108,Drepanocladus aduncus (Hedw.) Warnst.,Other,nd,26.8,1993,1993,55
108,Drepanocladus aduncus (Hedw.) Warnst.,Other,nd,120.8,1994,1994,55
109,Tomenthypnum nitens (Hedw.) Loeske,Other,nd,204.0,1991,1991,51
109,Tomenthypnum nitens (Hedw.) Loeske,Other,nd,95.0,1992,1992,51
111,Sphagnum fuscum (Schimp.) Klinggr.,Sphagnum,nd,189.0,1991,1991,51
111,Sphagnum fuscum (Schimp.) Klinggr.,Sphagnum,nd,119.0,1992,1992,51
111,Sphagnum fuscum (Schimp.) Klinggr.,Sphagnum,nd,155.9,1993,1993,55
111,Sphagnum fuscum (Schimp.) Klinggr.,Sphagnum,nd,267.8,1994,1994,55
112,Sphagnum warnstorfii Russ.,Sphagnum,nd,33.2,1993,1993,55
112,Sphagnum warnstorfii Russ.,Sphagnum,nd,275.3,1994,1994,55
112,Aulacomium palustre (Hedw.) Schwaegr.,Other,nd,136.2,1993,1993,55
112,Aulacomium palustre (Hedw.) Schwaegr.,Other,nd,404.7,1994,1994,55
112,Moss layer    ,All,nd,52.0,1993,1993,54
112,Moss layer    ,All,nd,287.0,1994,1994,54
114,Pleurozium schreberi (Brid.) Mitt.,Feathermoss,nd,207.0,nd,nd,69
125,Campylium stellatum (Hedw.) C. Jens,Other,Lawn,88.0,1983,1983,65
125,Campylium stellatum (Hedw.) C. Jens,Other,Lawn,67.0,1984,1984,65
125,Campylium stellatum (Hedw.) C. Jens,Other,Lawn,78.0,1985,1985,65
125,Drepanocladus revolvens (Sw.) Warnst.,Other,Lawn,102.0,1984,1984,65
125,Drepanocladus revolvens (Sw.) Warnst.,Other,Lawn,101.0,1985,1985,65
125,Drepanocladus revolvens (Sw.) Warnst.,Other,Lawn,105.0,1983,1983,65
125,Moss layer    ,Other,Lawn ,97.0,1983,1985,65
125,Moss layer    ,All,nd,125.0,1983,1983,65
125,Moss layer    ,All,nd,126.0,1984,1984,65
125,Moss layer    ,All,nd,131.0,1985,1985,65
125,Scorpidium scorpioides (Hedw.) Limpr.,Other,Carpet,139.0,1983,1983,65
125,Scorpidium scorpioides (Hedw.) Limpr.,Other,Carpet,156.0,1984,1984,65
125,Scorpidium scorpioides (Hedw.) Limpr.,Other,Carpet,170.0,1985,1985,65
125,Scorpidium scorpioides (Hedw.) Limpr.,Other,Carpet,161.0,1983,1985,65
125,Moss layer    ,All,Hummock ,122.0,1983,1985,65
125,Tomenthypnum nitens (Hedw.) Loeske,Other,Hummock ,117.5,1983,1983,65
125,Tomenthypnum nitens (Hedw.) Loeske,Other,Hummock ,130.0,1984,1984,65
125,Tomenthypnum nitens (Hedw.) Loeske,Other,Hummock ,131.0,1985,1985,65
